ID,Asset,Timestamp,Type,Is Short Sell,Price,Quantity,Total Amount
146,MSFT,2025-02-26 20:10:15,BUY,False,149.3,168.297,25126.6747597102
211,MSFT,2025-02-09 13:46:02,BUY,False,149.5,270.600085539013,40454.7127880824
242,MSFT,2025-02-15 19:00:54,BUY,False,150.5,168.123853923119,25302.6400154293
230,MSFT,2025-02-10 00:52:46,BUY,False,150.4,581.253219470268,87420.4842083283
206,MSFT,2025-02-16 09:06:29,BUY,False,150.3,620.417643100376,93248.7717579865
156,MSFT,2025-02-24 02:10:30,BUY,False,148.1,631.611308053334,93541.6347226988
287,MSFT,2025-02-04 11:50:24,BUY,False,149,623.335738464748,92877.0250312475
149,MSFT,2025-02-20 23:50:40,BUY,False,149.8,281.566406861254,42178.6477478158
185,MSFT,2025-02-20 15:27:10,BUY,False,150,303.777358943522,45566.6038415283
28,MSFT,2025-02-24 13:07:34,BUY,False,149.9,790.379917942708,118477.949699612
249,MSFT,2025-02-09 09:50:04,BUY,False,149.6,333.685132531752,49919.2958267501
55,MSFT,2025-02-01 08:22:16,BUY,False,149.5,775.783523364528,115979.636742997
126,MSFT,2025-02-14 12:57:27,BUY,False,148.6,989.349034389251,147017.266510243
178,MSFT,2025-02-03 22:37:52,BUY,False,149.4,616.152529700836,92053.1879373049
251,MSFT,2025-02-13 21:38:00,BUY,False,152.2,727.083732513161,110662.144088503
280,MSFT,2025-02-15 05:45:44,BUY,False,150.3,83.4886145014483,12548.3387595677
140,MSFT,2025-02-14 09:58:38,BUY,False,150,390.186284592922,58527.9426889384
150,MSFT,2025-02-27 10:24:06,BUY,False,152.5,293.194189653769,44712.1139221997
181,MSFT,2025-02-24 00:54:44,BUY,False,150.4,99.9994974687036,15039.924419293
8,MSFT,2025-02-27 01:27:59,BUY,False,150.2,844.303168399568,126814.335893615
191,MSFT,2025-02-04 07:57:28,BUY,False,149,953.132240239083,142016.703795623
217,MSFT,2025-02-09 13:36:14,BUY,False,149.8,635.31790866238,95170.6227176246
148,MSFT,2025-02-21 21:03:23,BUY,False,149.2,998.246656780843,148938.401191702
133,MSFT,2025-02-26 07:33:02,BUY,False,150,68.7079917665486,10306.1987649823
101,MSFT,2025-02-14 20:32:43,BUY,False,148.9,960.317175773026,142991.227472604
218,MSFT,2025-02-12 08:01:42,BUY,False,148.9,908.046536565937,135208.129294668
173,MSFT,2025-02-11 01:35:13,BUY,False,148.7,843.033136456986,125359.027391154
89,MSFT,2025-02-06 11:34:12,BUY,False,150,969.610068434979,145441.510265247
246,MSFT,2025-02-27 05:02:13,BUY,False,150.7,272.739304907972,41101.8132496314
269,MSFT,2025-02-14 10:23:43,BUY,False,150.6,167.749802681282,25263.1202838011
160,MSFT,2025-02-18 22:05:55,BUY,False,150.8,604.788483895262,91202.1033714055
122,MSFT,2025-02-09 22:17:14,BUY,False,149.9,396.383353444653,59417.8646813535
145,MSFT,2025-02-27 12:09:49,BUY,False,151.6,528.08624011679,80057.8740017054
265,MSFT,2025-02-08 18:44:28,BUY,False,150,478.68198598376,71802.297897564
290,MSFT,2025-02-21 07:34:16,BUY,False,149.1,448.236826137109,66832.1107770429
134,MSFT,2025-02-02 18:55:12,BUY,False,150.7,910.016557417672,137139.495202843
197,MSFT,2025-02-08 08:36:51,BUY,False,151.7,583.354089977347,88494.8154495636
278,MSFT,2025-02-24 19:29:21,BUY,False,152.2,125.912695918409,19163.9123187819
137,MSFT,2025-02-27 07:55:32,BUY,False,150,938.199685625995,140729.952843899
47,MSFT,2025-02-12 10:28:16,BUY,False,151.1,262.336940253727,39639.1116723382
143,MSFT,2025-02-17 18:53:52,BUY,False,150.5,313.594279227982,47195.9390238113
254,MSFT,2025-02-23 01:49:29,BUY,False,150.3,101.448955867399,15247.7780668701
70,MSFT,2025-02-08 18:02:57,BUY,False,150.4,576.775940466984,86747.1014462344
261,MSFT,2025-02-11 04:38:23,BUY,False,148.8,641.690327243434,95483.520693823
90,MSFT,2025-02-23 00:41:27,BUY,False,149.3,671.422978608109,100243.450706191
224,MSFT,2025-02-20 08:15:40,BUY,False,150.7,409.980848432323,61784.1138587511
218,MSFT,2025-02-02 02:22:40,BUY,False,148.8,948.558687352354,141145.53267803
13,MSFT,2025-02-17 00:39:58,BUY,False,149.1,355.342108798218,52981.5084218143
220,MSFT,2025-02-25 19:25:50,BUY,False,151.3,589.016220990247,89118.1542358243
57,MSFT,2025-02-17 08:05:34,BUY,False,149.2,89.0687259529918,13289.0539121864
188,MSFT,2025-02-06 05:15:21,SELL,True,149.8,725.925607403113,108743.655988986
258,MSFT,2025-02-08 14:41:41,SELL,True,149.8,325.587758489926,48773.0462217909
209,MSFT,2025-02-05 10:09:08,SELL,True,149.7,385.834538083872,57759.4303511556
142,MSFT,2025-02-25 19:50:18,SELL,True,150.1,663.261200631276,99555.5062147545
250,MSFT,2025-02-05 07:23:11,SELL,True,150.9,488.043057777161,73645.6974185735
124,MSFT,2025-02-20 06:43:26,SELL,False,150,372.135221736533,55820.28326048
62,MSFT,2025-02-26 23:11:20,SELL,False,150.5,592.461490927804,89165.4543846345
95,MSFT,2025-02-17 11:31:04,SELL,False,150.8,9.2506149332253,1394.99273193038
255,MSFT,2025-02-27 19:35:41,SELL,False,150.8,603.411298341566,90994.4237899082
186,MSFT,2025-02-18 04:32:24,SELL,False,150.3,985.435681275094,148110.982895647
268,MSFT,2025-02-19 12:14:58,SELL,False,151.6,612.282728888903,92822.0616995577
212,MSFT,2025-02-26 15:54:49,SELL,False,150.9,180.454032204519,27230.513459662
291,MSFT,2025-02-20 08:54:56,SELL,False,148.9,771.347387493455,114853.625997775
286,MSFT,2025-02-23 18:10:04,SELL,False,151.1,767.853432645991,116022.653672809
97,MSFT,2025-02-08 20:15:21,SELL,False,150.3,634.314188363736,95337.4225110695
289,MSFT,2025-02-01 18:09:58,SELL,False,149.8,260.092422272866,38961.8448564753
135,MSFT,2025-02-25 10:41:07,SELL,False,150.9,555.374848188501,83806.0645916447
90,MSFT,2025-02-28 05:23:22,SELL,False,150.5,634.085293647849,95429.8366940012
194,MSFT,2025-02-27 21:19:14,SELL,False,148.5,922.667050563108,137016.057008622
